Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
1	1	1544.982844	1333.420820	200.029985	4.591923	92.085824	0.158661	1.410202	76.571385	37.532613	0.175224
2	1	1589.209853	1394.168972	200.029969	4.200473	95.533707	0.139898	1.300078	76.414612	39.571261	2.378627
3	1	1597.691956	1383.573657	200.029969	4.265053	87.688294	0.154757	1.427241	84.027479	34.296691	0.140510
4	1	1622.221393	1412.959539	200.029985	4.089494	87.857316	0.148102	1.394870	108.077646	35.143863	0.156327
5	1	1534.286198	1310.688048	200.029969	4.752590	88.640081	0.170596	1.490431	73.274614	36.268111	0.160392
6	1	1513.308575	1289.237869	200.029985	4.912051	89.924822	0.173801	1.493581	79.241209	35.018254	0.092892
7	1	1565.283232	1347.605043	200.029985	4.495767	88.556447	0.161530	1.450970	74.701727	34.835017	0.106397
8	1	1831.495719	1615.340993	200.029969	3.128964	74.399282	0.133814	1.440816	96.749220	35.008055	0.075562
9	1	1716.769262	1505.337858	200.029985	3.602973	81.619559	0.140454	1.409331	92.137225	34.861214	0.113729
10	1	1701.564146	1482.585544	200.029985	3.714407	80.015898	0.147700	1.459639	68.326379	35.169084	0.245742
11	1	1593.455294	1382.265326	200.029985	4.273131	88.988324	0.152785	1.407722	61.061530	37.080119	0.117987
12	1	1525.101612	1324.411592	200.029985	4.654608	97.734743	0.151531	1.337733	80.613630	39.551215	2.475220
13	1	1470.919756	1248.913663	200.029969	5.234367	93.691541	0.177759	1.479819	76.743932	35.774328	0.129947
14	1	1535.643295	1327.899574	200.029985	4.630187	94.168269	0.156445	1.384751	81.616789	33.071332	0.272620
15	1	1528.772736	1319.075867	200.029985	4.692340	93.915225	0.158973	1.397770	83.303569	34.472912	0.203820
16	1	1486.550250	1268.797026	200.029985	5.071597	94.024489	0.171622	1.451471	63.222880	34.939088	0.076458
17	1	2826.814501	2614.970891	200.029985	1.193975	46.893808	0.081012	1.412079	82.132058	34.756062	0.090218
18	1	1512.693759	1315.742247	200.029985	4.716147	100.246123	0.149689	1.312813	77.040229	39.724012	2.994931
19	1	1421.321363	1205.434276	200.029985	5.618779	99.822288	0.179095	1.439032	74.692319	35.317029	0.176645
20	1	1398.822390	1167.796955	200.029969	5.986794	96.287643	0.197830	1.539939	83.234894	35.120018	0.086140
21	1	1570.351646	1361.825644	200.029985	4.402365	91.477861	0.153122	1.389965	92.601271	34.958450	0.244720
22	1	1523.894424	1319.970892	200.029969	4.685978	96.508595	0.154491	1.359287	73.440447	34.140920	0.112314
23	1	1312.603153	1094.636155	200.029985	6.813801	108.877263	0.199123	1.452895	59.141388	35.645221	0.079323
24	1	1512.809545	1317.433692	200.029985	4.704045	100.924841	0.148300	1.302310	62.938105	38.217967	3.255730
25	1	1517.071305	1313.996625	200.029985	4.728686	97.352632	0.154547	1.353628	76.075382	34.645802	0.144300
